썸네일,제목,조회수,주소,채널명,채널사진
https://i.ytimg.com/vi/Z6bfLUZh7GY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC2CAp4FAqCPkSQBmM9Wdsti4tDOg,SUB) 초간단 레시피로 밥요리를 만드는 5가지 방법,조회수 1.1만회,https://www.youtube.com/watch?v=Z6bfLUZh7GY,휴식시간 hyusiksigan,https://yt3.ggpht.com/ytc/AAUvwng1vRs1t-J796ISRIjXDCJQh1cnpfWUS6aKcZVJ=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/vz6Hpuss1Lc/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCGkKZBaifkqZytXP6oUFFct4381g,?700만이 뽑은 초간단 인생 요리 15가지?[만개의레시피],조회수 124만회,https://www.youtube.com/watch?v=vz6Hpuss1Lc,만개의레시피 10K Recipe,https://yt3.ggpht.com/ytc/AAUvwnjnBcagbKVnwpQcInfS0EEbD8QXVOVgqtjo3uBtYA=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/6e-IbuuD6ZU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAT2UJyk5sUM_y3NZGB5VXOwCTX9A,초간단 1분 라볶이,조회수 401만회,https://www.youtube.com/watch?v=6e-IbuuD6ZU,백종원의 요리비책 Paik's Cuisine,https://yt3.ggpht.com/ytc/AAUvwnjqgs2fR9IuVGk1nYDHbQ20hiUv7oPT_qsPtTmQrQ=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/A4c6Xnfl0Ls/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAZD7NRngRsX5cL55BmYiresecd9A,백종원 대표도 공개 직전까지 망설였다는 레시피 // 정말 간단한 초간단 대패삼겹살 요리 3가지,조회수 214만회,https://www.youtube.com/watch?v=A4c6Xnfl0Ls,밥먹언,https://yt3.ggpht.com/ytc/AAUvwng3ZAOUmdfWXPPR1YMnzK8IteUXkwF-PQ8v2ZPefA=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/dhCYZQUHxGU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBscTrunlcyV380yFVX2T-1EZbwMg,★ 뚝딱뚝딱 84가지 초간단 레시피 [만개의레시피],조회수 77만회,https://www.youtube.com/watch?v=dhCYZQUHxGU,만개의레시피 10K Recipe,https://yt3.ggpht.com/ytc/AAUvwnjnBcagbKVnwpQcInfS0EEbD8QXVOVgqtjo3uBtYA=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/rrNfCVRFsvs/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9rWbtdrPeoenCfp1jw7PSdE8W1w,"'잡채 초간단 버전', 그리고 '잡채밥' 입니다. 어제꺼 보다 훨씬 쉬워요! 그리고 명절 즐겁게 보내세요 ^^ ㅣ 백종원의 쿠킹로그",조회수 243만회,https://www.youtube.com/watch?v=rrNfCVRFsvs,백종원의 요리비책 Paik's Cuisine,https://yt3.ggpht.com/ytc/AAUvwnjqgs2fR9IuVGk1nYDHbQ20hiUv7oPT_qsPtTmQrQ=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/kvPWudnyelE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAE8VvJu3rj4nMj78vDtgp-Ro7A4g,? 요리초보? 이 동영상을 본 순간 당신은 요리고수! 초간단 요리 15가지 ? [만개의레시피],조회수 53만회,https://www.youtube.com/watch?v=kvPWudnyelE,만개의레시피 10K Recipe,https://yt3.ggpht.com/ytc/AAUvwnjnBcagbKVnwpQcInfS0EEbD8QXVOVgqtjo3uBtYA=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/zZQVXmLm9SY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwDiv-oXW8ZspyRZ1SjnKGJ1imRQ,[들기름막국수] 두부면요리. 초간단 레시피에 그렇지 못한 고급진 맛.,조회수 1.9천회,https://www.youtube.com/watch?v=zZQVXmLm9SY,미루꾸,https://yt3.ggpht.com/ytc/AAUvwng3un4yDUSxh6YzZdtNA9bMkabySqJb5ROvZUvy7A=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/MWoT-JIEbC8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDX1EPyDSkOWLh8CkZ0wZbcsnJhYA,육수 끓이지 않고 10분만에 만드는 떡만두국_초간단 레시피,조회수 4.7천회,https://www.youtube.com/watch?v=MWoT-JIEbC8,코리의 쉬운 요리easy cooking,https://yt3.ggpht.com/ytc/AAUvwniFn7T1Mpr-JySQKh3nc8w2rjb2R6jxDjTOn-LuRKE=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/ODFj8QXvxYI/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBV5jO0PRgFZl7l__5VlYthNPQLNg,컵라면볶음밥 너무맛있는 초간단레시피 ! 밥말아먹는 것 보다 10배는 맛있다! 라면볶음밥 해보세요! 신라면볶음밥 간단레시피 자취생요리 필수레시피 아직도 안먹어 봤다구? 당장 해먹어,조회수 9.2만회,https://www.youtube.com/watch?v=ODFj8QXvxYI,홈토리,https://yt3.ggpht.com/ytc/AAUvwnhSHAdW0H3Ay-lZKs1Ho8l8a5Lbi3awRMD2W2EU=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/zSfEOfhs2Vw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABhmdDCLtefAmzN_JhHFRROics3w,"[2탄] 초등학생도 쉽게 만드는 초간단 전자레인지요리 6종 :: 스팸마요덮밥, 김치볶음밥, 달걀카레, 화산볶음밥, 떡국, 참치달걀죽",조회수 13만회,https://www.youtube.com/watch?v=zSfEOfhs2Vw,10분요리 10m meal,https://yt3.ggpht.com/ytc/AAUvwngfa5gYfh5sHtA-GgqI5zw7lYqzN9zqfmlMZvu5YQ=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/-3dIC4zO3Fk/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDyh7UKI9SNKxdFV0V3gZehecW8Fw,간장국수 | 초간단 레시피,조회수 148회,https://www.youtube.com/watch?v=-3dIC4zO3Fk,뇌시피 Braincipe,https://yt3.ggpht.com/ytc/AAUvwnjOVSzk8ZCDX00ERXS0SA_olcBNODRlBraB5Ad0=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/d4XIMCRItJ8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAKJFRzR4gGUgoyvkVf4NakSWlbzw,초간단 고추장찌개 빅마마 이혜정 레시피! 시크릿 Tip 공개할게요.,조회수 36만회,https://www.youtube.com/watch?v=d4XIMCRItJ8,빅마마 이혜정,https://yt3.ggpht.com/ytc/AAUvwnhUgFmRpKfPClAVsra-BN0CDSC2_fLKR7R9Ld75=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/ZjTr77dZOc0/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdG_4P_jpnMdfedsXqALhAoBEukw,찬밥으로 만든 밥도그 | 튀기지 않은 밥도그 | 찬밥계란말이 | 찬밥레시피 | 소시지계란말이 | 아이디어요리 | 초간단레시피 | Egg roll,조회수 102만회,https://www.youtube.com/watch?v=ZjTr77dZOc0,매일맛나 delicious day,https://yt3.ggpht.com/ytc/AAUvwni8bz32WVOoRujd_cVjwtNogKdKtPedlHF6i8xP=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/K9jWk6e9K6c/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRx3Q9yBvxD3BmujRWiUsuCHAmTA,6분 볶아 만든 스팸계란볶음밥 맛있고 쉽게 만들기ㅣ초간단 스팸 달걀 볶음밥요리 레시피ㅣ간편요리 혼밥 집밥요리 - 모먹찌,조회수 40만회,https://www.youtube.com/watch?v=K9jWk6e9K6c,"모먹찌 - 간편요리, 맛집찾기",https://yt3.ggpht.com/ytc/AAUvwnjX4sRb7nARLZS2GLAa2GqiM_xrlk6GeESMjHT2fQ=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/UE7OK5KLh10/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCOtbDVJU4NSaaBNJ7nhwDNU-Md0g,호불호 없는 음식 10분 안에 만들기! 초간단 10분요리 10가지 요리법 ??? [만개의레시피],조회수 9.2천회,https://www.youtube.com/watch?v=UE7OK5KLh10,만개의레시피 10K Recipe,https://yt3.ggpht.com/ytc/AAUvwnjnBcagbKVnwpQcInfS0EEbD8QXVOVgqtjo3uBtYA=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/4See2fQmLIE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_oPTzNeyWJvnxRy1owQBjthvJjQ,[의욕 따위 필요 없는 100가지 레시피?] 퇴근하고 밥할 힘이 어디 있어?? 일분 일초가 아까운 사람들 주목!,조회수 84회,https://www.youtube.com/watch?v=4See2fQmLIE,출판사클,https://yt3.ggpht.com/ytc/AAUvwnigX8WLbNs2fvqNItVZz_Jnbz-_35Y3HkF7Jtj-dA=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/lrg2jftnuAo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCRDhYvQvz4NbcjVKkA-OXkNQ-84Q,초간단 존맛 황금 라면 레시피 9가지,조회수 66만회,https://www.youtube.com/watch?v=lrg2jftnuAo,자취요리신 simple cooking,https://yt3.ggpht.com/ytc/AAUvwnjxsEpmHifcKScLwR1nzhKiJHYTvdQUqyBI_ymY=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/nTD4BTvmlIw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBmpF_FEjlE3x_6uAw5zm9TESrLUA,다이제로 만드는 초간단 초코타르트 레시피?,조회수 1.9천회,https://www.youtube.com/watch?v=nTD4BTvmlIw,자취생으로 살아남기 onehomelife,https://yt3.ggpht.com/ytc/AAUvwnjEUnDeiDKPc68V-rbui4okComYW-k_gdZptkU9=s68-c-k-c0x00ffffff-no-rj
https://i.ytimg.com/vi/U8RoD1FNp_E/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAtM3oTU6KabCpNg0hFa5Nq50cTJg,밥에도 샐러드에도 모두 잘 어울리는 수란 만들기 초간단 레시피,조회수 2.2천회,https://www.youtube.com/watch?v=U8RoD1FNp_E,방배동 최경숙의 진심밥상,https://yt3.ggpht.com/ytc/AAUvwnjAJDBacpYiz3TYsyTZuF66RdrUnKkOotrK70yx=s68-c-k-c0x00ffffff-no-rj
