movieId,title,genres,title,genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,미고랭,동남아/인도 요리|가공식품 요리|실생활 요리|혼밥 요리|간식/야식
2,Jumanji (1995),Adventure|Children|Fantasy,우엉 스키야키,일식 요리|국/탕요리|채소류 요리|파티/명절요리
3,Grumpier Old Men (1995),Comedy|Romance,베이컨 숙주 볶음,실생활 요리|술안주|자취 초보 요리|볶음요리|퓨전요리|간단 재료 요리|햄/소시지|간편 메인반찬|동영상 레시피
4,Waiting to Exhale (1995),Comedy|Drama|Romance,시원한 날치알 냉우동,실생활 요리|일식 요리|자취 초보 요리|혼밥 요리|비빔면요리|일식면|움짤 레시피|간단 재료 요리|10분 요리|이국적인맛|여름
5,Father of the Bride Part II (1995),Comedy,투움바파스타,실생활 요리|혼밥 요리|서양식면|수산가공품
6,Heat (1995),Action|Crime|Thriller,민트초코 프라푸치노,빵/케이크|손님 접대 요리|실생활 요리|파티/명절요리|자취 초보 요리|혼밥 요리|빈혈 예방|간식/야식|과자/쿠키|간단 재료 요리|봄|아이스크림|주스|아이 간식|사탕/초콜렛|기타음료
7,Sabrina (1995),Comedy|Romance,초우지단,실생활 요리|술안주|자취 초보 요리|볶음요리|중식 요리|혼밥 요리|간식/야식|달걀/유제품 요리|10분 요리
8,Tom and Huck (1995),Adventure|Children,카레닭다릿살구이,구이요리|닭고기|빈혈 예방|암 예방
9,Sudden Death (1995),Action,군대리아,양식 요리|혼밥 요리|간식/야식|햄버거/핫도그
10,GoldenEye (1995),Action|Adventure|Thriller,그릭요거트 딸기 샌드위치,샌드위치|자취 초보 요리|과일 요리|면역력 강화|퓨전요리|혼밥 요리|간식/야식|간단 재료 요리|10분 요리|요거트|피부 재생|아이 간식
11,"American President, The (1995)",Comedy|Drama|Romance,와사비마요우동,실생활 요리|일식 요리|자취 초보 요리|혼밥 요리|비빔면요리|일식면|15분 요리|간단 재료 요리|10분 요리|5분 요리|간편 메인반찬
12,Dracula: Dead and Loving It (1995),Comedy|Horror,롱치즈스틱,실생활 요리|양식 요리|술안주|자취 초보 요리|튀김요리|혼밥 요리|간식/야식|달걀/유제품 요리|움짤 레시피|15분 요리|간단 재료 요리
13,Balto (1995),Adventure|Animation|Children,똠양꿍,동남아/인도 요리|수산물|술안주|혼밥 요리|간식/야식|움짤 레시피|스튜/스프요리
14,Nixon (1995),Drama,연유초콜릿,퓨전요리|간식/야식|달걀/유제품 요리|5분 요리|아이 간식|사탕/초콜렛
15,Cutthroat Island (1995),Action|Adventure|Romance,메이플시럽을 발라구운 베이컨,양식 요리|구이요리|자취 초보 요리|간식/야식|햄/소시지
16,Casino (1995),Crime|Drama,옛날 도시락,실생활 요리|나들이 요리|자취 초보 요리|한식 요리|김치요리|달걀/유제품 요리|15분 요리|햄/소시지|채소밥/비빔밥|동영상 레시피
17,Sense and Sensibility (1995),Drama|Romance,윤식당 3종세트,손님 접대 요리|쇠고기|실생활 요리|샌드위치|채소류 요리|한식 요리|볶음요리|퓨전요리|덮밥/국밥|볶음면요리|간식/야식|동영상 레시피
18,Four Rooms (1995),Comedy,당근미음,실생활 요리|혼밥 요리|간단 재료 요리|5분 요리|아이 성장/발육 |아이 간식|죽/미음|이유식 초기
19,Ace Ventura: When Nature Calls (1995),Comedy,차슈비빔라면,실생활 요리|한식 요리|혼밥 요리|한식면|비빔면요리|동영상 레시피
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,식빵핫도그,빵/케이크|자취 초보 요리|퓨전요리|간식/야식|5분 요리|햄버거/핫도그
21,Get Shorty (1995),Comedy|Crime|Thriller,갈배비빔면,실생활 요리|자취 초보 요리|한식 요리|퓨전요리|혼밥 요리|한식면|비빔면요리|간단 재료 요리|동영상 레시피
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,계란국,실생활 요리|국/탕요리|자취 초보 요리|한식 요리|혼밥 요리|달걀/유제품 요리|움짤 레시피|15분 요리|간단 재료 요리|해장요리
23,Assassins (1995),Action|Crime|Thriller,시나몬 바나나 팬케이크,빵/케이크|손님 접대 요리|실생활 요리|자취 초보 요리|간식/야식|달걀/유제품 요리|15분 요리|간단 재료 요리|이국적인맛|동영상 레시피
24,Powder (1995),Drama|Sci-Fi,제육파스타,손님 접대 요리|실생활 요리|양식 요리|파티/명절요리|돼지고기|혼밥 요리|서양식면|볶음면요리
25,Leaving Las Vegas (1995),Drama|Romance, 불고기 계란 말이 김밥,손님 접대 요리|쇠고기|실생활 요리|나들이 요리|파티/명절요리|자취 초보 요리|한식 요리|혼밥 요리|간식/야식|달걀/유제품 요리|움짤 레시피|간단 재료 요리|김밥/롤/주먹밥/초밥|아이 성장/발육 |수유모 건강|산모 건강
26,Othello (1995),Drama,무화과오믈렛,퓨전요리|간식/야식|달걀/유제품 요리|10분 요리|볶음밥/오므라이스|아이 간식
27,Now and Then (1995),Children|Drama,크림그라탕,국/탕요리|양식 요리|채소류 요리|파티/명절요리|자취 초보 요리|15분 요리
28,Persuasion (1995),Drama|Romance,스테이크 타코,손님 접대 요리|쇠고기|실생활 요리|나들이 요리|파티/명절요리|자취 초보 요리|볶음요리|혼밥 요리|멕시칸 요리|간식/야식|움짤 레시피|15분 요리|간단 재료 요리
29,"City of Lost Children, The (Cit챕 des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,콩나물 코다리찜,찜요리|실생활 요리|수산물|자취 초보 요리|한식 요리|움짤 레시피|간단 재료 요리
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,스팸김밥,실생활 요리|나들이 요리|자취 초보 요리|한식 요리|간식/야식|움짤 레시피|햄/소시지|김밥/롤/주먹밥/초밥
31,Dangerous Minds (1995),Drama,군대식 참치 간짬뽕,퓨전요리|간식/야식|국물면요리|15분 요리|중식면
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,탕수만두,술안주|중식 요리|튀김요리|간식/야식|만두요리
